[2022-12-16 11:32:53] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-16 11:32:53] [INFO   ] configuration file was loaded from resources directory.
[2022-12-16 11:32:54] [INFO   ] Thread dealer starting.
[2022-12-16 11:32:54] [INFO   ] Thread playerstarting.
[2022-12-16 11:32:54] [INFO   ] Thread computer-0 starting.
[2022-12-16 11:32:54] [SEVERE ] placing card 46 in slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
[2022-12-16 11:32:54] [SEVERE ] player 0 placing token on slot 0
[2022-12-16 11:32:54] [SEVERE ] removing player 0 token from slot 0
